,Offense Score,Defense Score,Drive Number,Play Number,Period,totalseconds,Offense Timeouts,Yard Line,Yards To Goal,Down,Distance,L1 Play Yards,L2 Play Yards,Play Type,L1 Yards Gained,L2 Yards Gained,L1 Play Type,L2 Play Type,L1 Down,L2 Down,L1 Distance,L1 Distance
163,20,20,20,1,4,127,1.0,10,90,1,10,0.0,9.0,1,0.0,9.0,2,1,4.0,3.0,7.0,7.0
164,20,20,20,2,4,114,1.0,10,90,2,10,0.0,0.0,3,0.0,0.0,1,2,1.0,4.0,10.0,10.0
165,20,20,20,3,4,103,1.0,23,77,1,10,13.0,0.0,1,13.0,0.0,3,1,2.0,1.0,10.0,10.0
167,20,20,20,5,4,94,0.0,23,77,2,10,0.0,13.0,3,0.0,13.0,1,3,1.0,2.0,10.0,10.0
168,20,20,20,6,4,85,0.0,32,68,3,1,9.0,0.0,3,9.0,0.0,3,1,2.0,1.0,10.0,10.0
169,20,20,20,7,4,54,0.0,39,61,1,10,7.0,9.0,1,7.0,9.0,3,3,3.0,2.0,1.0,1.0
172,20,20,20,10,4,35,0.0,44,56,1,20,0.0,7.0,1,0.0,7.0,1,3,1.0,3.0,10.0,10.0
173,20,20,20,11,4,28,0.0,81,19,1,10,37.0,0.0,3,37.0,0.0,1,1,1.0,1.0,20.0,20.0
175,20,20,20,13,4,22,0.0,82,18,2,9,1.0,37.0,1,1.0,37.0,3,1,1.0,1.0,10.0,10.0
176,20,20,20,14,4,18,0.0,82,18,3,9,0.0,1.0,1,0.0,1.0,1,3,2.0,1.0,9.0,9.0
177,20,20,20,15,4,8,0.0,82,18,4,9,0.0,0.0,0,0.0,0.0,1,1,3.0,2.0,9.0,9.0
178,20,20,23,1,5,0,,75,25,1,10,35.0,0.0,1,35.0,0.0,0,1,4.0,3.0,9.0,9.0
179,20,20,23,2,5,0,,75,25,2,10,0.0,35.0,3,0.0,35.0,1,0,1.0,4.0,10.0,10.0
180,20,20,23,3,5,0,,77,23,3,8,2.0,0.0,3,2.0,0.0,3,1,2.0,1.0,10.0,10.0
181,20,20,23,4,5,0,,80,20,4,5,3.0,2.0,0,3.0,2.0,3,3,3.0,2.0,8.0,8.0
183,20,20,24,1,6,0,,75,25,1,10,37.0,3.0,1,37.0,3.0,0,3,4.0,3.0,5.0,5.0
184,20,20,24,2,6,0,,75,25,2,10,0.0,37.0,1,0.0,37.0,1,0,1.0,4.0,10.0,10.0
185,20,20,24,3,6,0,,95,5,1,5,20.0,0.0,3,20.0,0.0,1,1,2.0,1.0,10.0,10.0
186,26,20,24,4,6,0,,97,3,2,3,2.0,20.0,3,2.0,20.0,3,1,1.0,2.0,5.0,5.0
189,0,0,1,2,1,900,3.0,75,75,1,10,,,1,,,4,4,,,,
191,0,0,1,4,1,900,3.0,44,44,2,14,35.0,,3,35.0,,1,4,1.0,,10.0,10.0
192,0,0,1,5,1,900,3.0,40,40,3,10,4.0,35.0,3,4.0,35.0,3,1,2.0,1.0,14.0,14.0
193,0,0,1,6,1,743,3.0,37,37,4,7,3.0,4.0,1,3.0,4.0,3,3,3.0,2.0,10.0,10.0
194,0,7,3,2,1,621,3.0,75,75,1,10,1.0,3.0,3,1.0,3.0,1,3,4.0,3.0,7.0,7.0
